,emotion,cos_sim,amt_dialog_id,amt_dialog,os_dialog_id,os_dialog
28,Acknowledging,0.9719,5117713,"- Yeah , that 's right .",2354626,"- THERE YOU GO , SUZIE . IT 'S A WORK OF ART . JUST IN TIME . THE OLD ONE BROKE DOWN YESTERDAY .
- AM I GOING TO BE ATTACHED TO IT ALL THE TIME ?
- NOT ALL THE TIME , SUZIE . JUST FOR A 3-HOUR TREATMENT EVERY OTHER DAY . AND WHEN I GET TO AMERICA , AND YOU GIVE ME THAT NEW KIDNEY YOU PROMISED ME , MACGYVER , WILL I BE ABLE TO PLAY , AND GO TO SCHOOL , AND DO ALL THE THINGS I USED TO DO ?
- YEAH .
- THAT 'S RIGHT ."
29,Acknowledging,0.9716,6489958,- This is very nice .,3967781,"- This place is nice .
- Yeah , real nice ."
30,Acknowledging,0.9715,6674215,- That 's beautiful !,1614169,"- That is so beautiful .
- Yeah , it 's really beautiful ."
31,Acknowledging,0.9711,6489958,- This is very nice .,6281747,"- Well done , Arthur . Beautiful speech .
- Really nice .
- Really , really nice ."
32,Acknowledging,0.971,5717593,"- Did you like it ?
- Yeah , great .",1384518,"- Do you like it ?
- Yeah , it 's great ."
33,Acknowledging,0.971,4104068,- That was nice !,2695601,"- I could fix this for you .
- Oh , very nice .
- Very nice ."
34,Acknowledging,0.9706,4104068,- That was nice !,6178300,"- How 'd it come out ?
- I think okay .
- Nice .
- Very nice !"
35,Acknowledging,0.9705,7712099,- That 's really great !,2732446,"- We 'll hold a wake for Ino-san at a restaurant .
- You too . The umbrella is inside .
- It 's great .
- It 's great !"
36,Acknowledging,0.9702,6674215,- That 's beautiful !,4689890,"- How beautiful .
- Yeah , beautiful ."
37,Acknowledging,0.9697,6489958,- This is very nice .,1734407,"- Really , I didn 't ask you ...
- How 's your headache ?
- Better ... Fine . Today I 'm fine .
- Did our pals stay until late , last night ? No . It was nice . I expect Gigi had a great time . Still have any doubts ?
- Look at this , Petros . How beautiful it is here !
- Very nice .
- Very nice indeed !"
38,Acknowledging,0.9694,4104068,- That was nice !,3786624,"- Listen , Joe , I didn 't mean to screw up your party tonight . It 's just that , part of me held out hope that one day you 'd come back and work with me . But the more successful you get the clearer it is that that ain 't gonna happen .
- But this is nice , right ?
- Yeah , this is nice ."
39,Acknowledging,0.9691,6674215,- That 's beautiful !,5455687,"- It 's so beautiful .
- Yeah . So beautiful ."
40,Acknowledging,0.9687,4104068,- That was nice !,4260497,"- Help me .
- Is this yours , Alfie ?
- Please , help me .
- That 's a little diamond , innit ?
- What 's this next to it ?
- Looks like a sapphire to me .
- What do you reckon , Alfie ?
- Sapphire , is it ?
- And it 's not yours you say .
- Get help .
- Well , that is nice .
- Very nice indeed ."
41,Acknowledging,0.9686,1515329,- You 're amazing .,6169226,"- You were awesome ! I mean , for real .
- You ... were amazing ."
42,Acknowledging,0.9683,6031016,"- That was nice .
- Uh ... Do you want to maybe go and hang out for a while ?",5942674,"- Holy shit , that 's nice .
- That 's really nice ."
43,Acknowledging,0.9679,4104068,- That was nice !,3848148,"- Take off your bra !
- Yes , that is very nice !
- Very nice !"
44,Acknowledging,0.9675,7712099,- That 's really great !,1240453,"- That was fantastic !
- That was good ."
45,Acknowledging,0.9672,7712099,- That 's really great !,6531874,"- And Brewster Baker takes the checker flag in the Pensacola 215 . Folks , we 've seen the race today . Johnsman Tankerman and Brewster Baker for the 2nd and 3rd . Roswell old Charlie 's menu . Come on , take the menu . We 're proud of you , Cahrlie .
- That 's our Roswell welcome .
- That 's really great .
- You 're doing good . You 're great ."
46,Acknowledging,0.9671,6489958,- This is very nice .,6453539,"- Yes . Very nice .
- Very nice indeed ."
47,Acknowledging,0.9669,6674215,- That 's beautiful !,6377131,"- Oh , it 's magnificent , isn 't it ?
- It 's beautiful ."
48,Acknowledging,0.9666,6489958,- This is very nice .,314207,"- It feels so nice .
- Nice ? Really nice ."
49,Acknowledging,0.9662,1515329,- You 're amazing .,219446,"- That 's a nice one .
- You 're amazing ."
50,Acknowledging,0.966,5117713,"- Yeah , that 's right .",7071898,"- I know . I feel the same . Yeah .
- That sounds good . Okay .
- Right . Yeah ."
51,Acknowledging,0.965,6674215,- That 's beautiful !,2981239,"- This is gorgeous .
- Yeah , this is beautiful ."
52,Acknowledging,0.9648,6489958,- This is very nice .,7223310,"- Lovely .
- This is really nice ."
53,Acknowledging,0.9647,4104068,- That was nice !,1162532,"- You have a first client for your table decorations ?
- Yes . A wedding .
- You don 't say !
- That 's so cool , Mom .
- A wedding is fantastic . You must be happy .
- Yes . I 'm very , very happy .
- Did you find a name for your company ?
- No . It 's Tuesday . I have to file the papers on Tuesday . It was Lucie who helped me with the paperwork . She was very sweet .
- Violet 's Déco !
- That 's pathetic . You need an English word .
- It would be better .
- For example , Violet 's Style . "" How 's that ?
- That 's great . Do you like "" Violet 's Style "" ?
- Wolefs Style ...
- Yes , that 's nice .
- I think it 's nice ."
54,Acknowledging,0.9646,6489958,- This is very nice .,3614353,"- This is a really nice place .
- Yeah . It didn 't use to be this nice .
- Really nice ."
55,Acknowledging,0.9643,6489958,- This is very nice .,7924983,"- Is this the place you wanted to show me ?
- Yes . It 's so beautiful .
- So nice ."
56,Acknowledging,0.9642,6489821,- Good job !,2114656,"- excellent , excellent .
- Great job !"
57,Acknowledging,0.9635,5117713,"- Yeah , that 's right .",306421,"- Have you ever seen what heroin does to a kid ?
- What withdrawal is like ?
- When I worked the jails , yeah . She was a junkie . A junkie whore . That 's all they are to this world . Human garbage , these kids . No one cares . No one goes looking for them .
- You do .
- That 's right ."
58,Acknowledging,0.9634,3729203,"- You 're like kids .
- Not bad , huh ?
- It 's great !",4329156,"- There you are ! Not bad ...
- It 's great !"
59,Acknowledging,0.963,159978,- That 's pretty .,1805154,"- Like that .
- That 's pretty ."
60,Acknowledging,0.9623,7712099,- That 's really great !,3753304,"- That 's excellent .
- That is excellent ."
62,Acknowledging,0.9623,6489958,- This is very nice .,1392692,"- Are you going to watch it all day ?
- It suits you . It really brings your eyes forward . Two palm woods for this .
- Five . He is worth at least five .
- Five ? Really ? What man wants a Arib sword ? He is way too heavy to use .
- No , no , you do not . If you were there much interest in , it 's worth a lot . You 're going we do not light up again .
- You light up ? Gentlemen , have you forgotten what valuables I brought you ?
- I remember it .
- Yes , that was really nice stuff .
- Really nice ."
63,Acknowledging,0.9615,4226687,- Greetings .,4179318,"- Greetings , sir .
- Welcome , sir .
- Greetings ."
64,Acknowledging,0.9613,6674215,- That 's beautiful !,4891249,"- Now , let 's take a look at this beautiful piece of work .
- Oh , my God . It 's beautiful .
- Oh . That 's beautiful ."
65,Acknowledging,0.9608,7712099,- That 's really great !,844374,"- Surprisingly good condition , huh ?
- It 's great ."
66,Acknowledging,0.9606,6489958,- This is very nice .,5925494,"- This is nice .
- Yeah , it 's beautiful ."
67,Acknowledging,0.9604,7137665,- It 's fantastic .,545810,"- Great . All right .
- Oh , great . Fantastic ."
68,Acknowledging,0.9603,6674215,- That 's beautiful !,7311218,"- It was so beautiful .
- So beautiful ."
69,Acknowledging,0.9602,7712099,- That 's really great !,4400064,"- You 're coming home in a couple days ? Yeah .
- That 's good , right ?
- It 's great ."
70,Acknowledging,0.9599,4104068,- That was nice !,8306876,"- Will you be putting your name on the account as well , sir ?
- No , he does not speak English .
- Dah . It won 't be necessary . We have three sizes of deposit boxes to choose from . Do you have a preference ?
- I am more particular about the number on the box . There are certain very bad luck numbers in my country .
- May I see a list of the numbers available ?
- Sure , I guess .
- Oh , that would be very nice .
- That is so nice of you ."
71,Acknowledging,0.9598,6674215,- That 's beautiful !,3468841,"- I wish that you bring Sir Osric back to life .
- As you wish ...
- That was awesome !
- That 's beautiful ."
72,Acknowledging,0.9596,7712099,- That 's really great !,4190108,"- You look great !
- Really great !"
73,Acknowledging,0.9596,4226687,- Greetings .,3802246,"- SaIim , what is happening inside ?
- I know what is going on . IsmaiI-bhai is venting out the foreigners anger on bhabhi . You have to do this . To control your wife .
- IsmaiI-bhai !
- Greetings , boss .
- Greetings ."
74,Acknowledging,0.9596,4104068,- That was nice !,8473135,"- Wow ! Nice place .
- Yeah , real nice ."
75,Acknowledging,0.9593,7712099,- That 's really great !,6295320,"- Wow , that is really ...
- That 's great ."
76,Acknowledging,0.9587,6674215,- That 's beautiful !,7888684,"- Life will be so beautiful !
- It 'll be so beautiful !
- So beautiful ..."
77,Acknowledging,0.9587,7712099,- That 's really great !,3209459,"- What 's the matter with you ? Stop it .
- What ? Stop .
- OK , OK . Stop it , Marcus . I think that we should go home .
- Let 's go home .
- Well , that was pretty great , huh ?
- Yeah , pretty great ."
78,Acknowledging,0.9587,159978,- That 's pretty .,3181551,"- I can 't believe this . I know I had a flashlight .
- Oh , this is just my luck on my own birthday . It goes black .
- You look very pretty in candlelight .
- Oh , did you see the lightning flashes ?
- It 's supposed to get worse . How 's everybody gonna get home now ?
- Happy birthday . I didn 't want to give it to you in the other room because it could be misconstrued , so ... ... I 've been hiding it in my jacket . Very nice .
- That 's lovely !
- That is so pretty ."
79,Acknowledging,0.9585,6674215,- That 's beautiful !,651854,"- It sounds beautiful .
- Really beautiful ."
80,Acknowledging,0.9582,159978,- That 's pretty .,7705335,"- There , sweetheart .
- That 's pretty ."
81,Acknowledging,0.9582,5978031,- Very interesting .,6097910,"- I find this fascinating .
- Very fascinating ."
82,Acknowledging,0.9581,6674215,- That 's beautiful !,5139628,"- You are so beautiful !
- So beautiful !"
83,Acknowledging,0.9575,1051996,- That 's amazing .,2327483,"- If that don 't beat all !
- That 's amazing .
- That 's fucking amazing ."
84,Acknowledging,0.9573,7712099,- That 's really great !,4044572,"- Fabulous ! Alright , Thank you for coming !
- That is great ."
85,Acknowledging,0.9567,6203167,- That was amazing !,336227,"- Bo ? Everything all right ?
- Everything 's amazing !
- Just amazing ..."
86,Acknowledging,0.9567,4104068,- That was nice !,4616717,"- We are here .
- You must be Sara 's father .
- I already have heard a lot about you . So , you have . What did you hear ?
- Well , that you are nice
- No , I 'm actually very nice . Okay .
- Very nice ."
87,Acknowledging,0.9561,4104068,- That was nice !,3818261,"- Yes , it 's beautiful .
- Very nice . The room is very nice .
- Nice !"
88,Acknowledging,0.956,6203167,- That was amazing !,492506,"- Well , that 's a nice compliment .
- That was amazing ."
89,Acknowledging,0.9559,1663949,"- Was the team mad , then ?
- I wasn 't happy !
- That 's pretty bad .",179809,"- It 's starting to hurt so bad .
- Really ? That bad ?
- Really bad ."
90,Acknowledging,0.9556,6203167,- That was amazing !,3719053,"- Oh , my God , it is so beautiful .
- It is amazing ."
91,Acknowledging,0.9553,6203167,- That was amazing !,3578263,"- That surprised me .
- That was amazing ."
92,Acknowledging,0.955,6674215,- That 's beautiful !,4510080,"- It 's beautiful !
- It 's too beautiful ."
93,Acknowledging,0.9547,473660,"- It was so good , baby .",1530435,"- Visarnlek Lukbangprasoi and his team .
- Stam Sor Con Lek , female eastern champion , 22 kilos .
- Good baby ! Good . Smile .
- That 's good , baby , that 's good ."
94,Acknowledging,0.9546,159978,- That 's pretty .,1336079,"- It 's real nice meeting you .
- That 's pretty ."
95,Acknowledging,0.9545,6031016,"- That was nice .
- Uh ... Do you want to maybe go and hang out for a while ?",3470951,"- Yes . It will be fine .
- That 's very nice ."
96,Acknowledging,0.9543,1663949,"- Was the team mad , then ?
- I wasn 't happy !
- That 's pretty bad .",782854,"- Is there a problem with the Project ?
- I 've really messed up .
- Very Bad ?
- Very Bad ."
97,Acknowledging,0.9542,6203167,- That was amazing !,8789191,"- Look . Santa got to Billy 's house already .
- Look , look ! Santa got here !
- Isn 't that amazing ?
- It is amazing ."
98,Acknowledging,0.9541,6489821,- Good job !,5271477,"- Nice job , Fabio way to go . Thank you very much .
- Great job ."
99,Acknowledging,0.9541,159978,- That 's pretty .,6347300,"- My , how pretty .
- Yeah , real pretty ."
100,Acknowledging,0.9538,7137665,- It 's fantastic .,7273123,"- It 's wonderful !
- It 's wonderful ."
101,Acknowledging,0.9538,7712099,- That 's really great !,5732379,"- You 're doing well .
- It will be great ."
102,Acknowledging,0.9536,6674215,- That 's beautiful !,4477984,"- It 's beautiful here .
- You 're beautiful ."
103,Acknowledging,0.9533,6674215,- That 's beautiful !,3727359,"- That looks so great .
- It 's so beautiful ."
104,Acknowledging,0.9531,6489821,- Good job !,6543025,"- Well , how did I do it ?
- Well done , isn 't it ?
- Good job !"
105,Acknowledging,0.9529,1515329,- You 're amazing .,4315185,"- So , you just totally saved my life .
- You 're amazing ."
106,Acknowledging,0.9528,6674215,- That 's beautiful !,4060873,"- YES , IT SOUNDS GOOD .
- SOUNDS GOOD .
- SOUNDS REALLY GOOD .
- THAT 'S BEAUTIFUL .
- BEAUTIFUL ."
107,Acknowledging,0.9527,6674215,- That 's beautiful !,6505398,"- You 're so beautiful .
- So beautiful ."
109,Acknowledging,0.9527,6489958,- This is very nice .,2967863,"- Here it is . It 's pretty .
- Nice . It 's beautiful ."
110,Acknowledging,0.9524,6489958,- This is very nice .,4398842,"- it is really comfortable .
- Really nice ."
111,Acknowledging,0.9524,7712099,- That 's really great !,559633,"- This is a perfect spot . There 's everything we need .
- It 's great ."
112,Acknowledging,0.9523,6489958,- This is very nice .,1324218,"- Thank you , Sean .
- This is really nice ."
113,Acknowledging,0.9523,6489958,- This is very nice .,3218556,"- What does she look like ?
- She 's good-looking . How good-looking ?
- Very good-looking . Really good-looking ?
- Really very good-looking . Would you take her out ?
- Yes , I would . You hesitated .
- What hesitate ? I didn 't hesitate . Something 's up . You hesitated .
- I 'm telling you , she 's good-looking .
- What about the body ? Good body . Nice body .
- How nice ? Nice . Pretty nice .
- Really good ? Really very nice and good ."
115,Acknowledging,0.952,5552336,"- Good work , boss .",3555831,"- It 's all good , boss .
- Nice work , boss ."
116,Acknowledging,0.952,7712099,- That 's really great !,4650488,"- You looked great .
- That was excellent ."
117,Acknowledging,0.9519,6674215,- That 's beautiful !,3036181,"- Please be seated Sir , this diamond necklace is paid for ... from the donation of shop owner
- Is it nice ?
- Not bad
- It 's so beautiful !"
119,Acknowledging,0.9519,2622636,"- Well , very neat .",2981167,"- It 's up your sleeve all the time .
- Look . The audience think it 's in the newspaper ... but you keep it up your sleeve . Let it out through the newspaper .
- That 's neat .
- That 's really neat ."
120,Acknowledging,0.9518,7712099,- That 's really great !,5607995,"- You were the best , Takuya !
- I 'll keep my promise
- You did great !
- Really great !"
121,Acknowledging,0.9517,6489958,- This is very nice .,8687906,"- This has been a nice evening .
- Yeah , very nice ."
122,Acknowledging,0.9514,6489958,- This is very nice .,5491513,"- Yeah . It didn 't use to be this nice .
- Really nice ."
123,Acknowledging,0.9514,1663949,"- Was the team mad , then ?
- I wasn 't happy !
- That 's pretty bad .",602849,"- HOW BAD DOES IT GET FOR YOU ?
- PRETTY BAD ."
124,Acknowledging,0.9514,4104068,- That was nice !,643054,"- That was good . It was fun .
- Yeah , it was nice , huh ?"
125,Acknowledging,0.9514,7712099,- That 's really great !,6388685,"- Oh yes yes . How sweet .
- How sweet . Oh , that 's great .
- That is great ."
126,Acknowledging,0.951,159978,- That 's pretty .,4229157,"- Is this one pretty ?
- It 's pretty ."
127,Acknowledging,0.9508,159978,- That 's pretty .,5779448,"- Pretty !
- So pretty ..."
128,Acknowledging,0.9505,6674215,- That 's beautiful !,3184914,"- Incredible , huh ?
- It 's beautiful ."
129,Acknowledging,0.9503,7137665,- It 's fantastic .,3238235,"- He made it . Yes .
- It 's fantastic !"
130,Acknowledging,0.9502,6674215,- That 's beautiful !,2711361,"- I think it 's going to be very , very spectacular .
- Like that . Beautiful ."
131,Acknowledging,0.9501,2652683,- It 's incredible !,4836006,"- I 'm convinced that taking the decision right then was what saved me , in fact . I remembered a dream I had back then about losing my teeth . They 'd turn black and fall out one by one .
- Do you know what my therapist said ?
- Madam , a Freudian would call it a dream of death .
- Incredible , isn 't it ?
- It 's incredible ."
132,Acknowledging,0.95,6203167,- That was amazing !,1328833,"- Kat falls out of the Challenge . Kim wins her second individual Immunity .
- good job .
- that was amazing ."
133,Acknowledging,0.9499,2652683,- It 's incredible !,5790571,"- That 's so insane .
- That was incredible ."
134,Acknowledging,0.9498,6739799,"- Oh , there it goes .",6180596,"- Don 't worry . It will all be over soon .
- There you go ."
135,Acknowledging,0.9497,6674215,- That 's beautiful !,4201502,"- You look really beautiful .
- Very beautiful ."
136,Acknowledging,0.9495,6674215,- That 's beautiful !,4166272,"- Really ? That 's good , isn 't it ?
- It 's beautiful ."
137,Acknowledging,0.9495,6489958,- This is very nice .,3592059,"- How beautiful is it ?
- This is so nice . _"
138,Acknowledging,0.9493,8536418,- That 's funny .,5818706,"- Lennox , I need to talk to you right away ! Nothing important !
- Lennox is not here , Mel . She had to run out for some last minute dance-related emergency . And then I sort of tuned her out- - self-preservation
- Well , I got her the lipstick she asked for . And while I was at the drugstore , funniest thing in the world- - well , you know , not funny ha-ha , but funny weird- I saw a teenage boy buying condoms .
- What 's funny about that ?
- Uh , the funny part is that is was Brendan .
- That is funny ."
139,Acknowledging,0.9493,6674215,- That 's beautiful !,6895238,"- how beautiful !
- You look really beautiful ."
140,Acknowledging,0.9491,1051996,- That 's amazing .,2686804,"- Spectacular , isn 't it ?
- It 's amazing ."
141,Acknowledging,0.9491,6489821,- Good job !,435250,"- Suture done .
- Good job !"
142,Acknowledging,0.949,7712099,- That 's really great !,4330534,"- Did you see that ? .
- It 's incredible !
- Yeah , that 's great ."
143,Acknowledging,0.9489,4104068,- That was nice !,5381597,"- Ify is confodent and strong so ... It looks great and I like the styling I like , I like the concept . I 'm very happy with it .
- Yeah . Nice ."
144,Acknowledging,0.9488,4104068,- That was nice !,4258644,"- You feel me ?
- That 's tight .
- I like that .
- It 's very nice ."
145,Acknowledging,0.9488,6489821,- Good job !,345904,"- For me , it 's 30 seconds off the perfect lobster . When you killed the lobster , you didn 't cook it immediately . it sat on your bench for a good 90 seconds , so all the goodness had run out of it . So salad . Delicious , crisp , beautifully seasoned . The butter , seasoned beautifully .
- Presentation , nicely done . It 's a very good effort .
- Good job ."
146,Acknowledging,0.9488,7712099,- That 's really great !,431244,"- blow like this ...
- Oh ! Amazing .
- You 're good .
- it came out !
- that 's great ."
147,Acknowledging,0.9486,7712099,- That 's really great !,2602938,"- Excellent Thank you .
- That was great !"
148,Acknowledging,0.9483,4104068,- That was nice !,8572592,"- I think it 's better like that .
- I 'll remove the hook .
- Yes , that 's nice .
- Very nice . Like it ? Yes , lovely ."
149,Acknowledging,0.9483,4104068,- That was nice !,5817884,"- Pretty cool !
- Nice !"
150,Acknowledging,0.9481,4104068,- That was nice !,1197285,"- Don 't worry , they 're nice .
- Nice , nice , nice ."
151,Acknowledging,0.9476,7719340,"- Well , you were pretty great .",3650306,"- It 's done , grandma We got that lump out of you , so you 'll be fine
- I see I 'm glad
- You were great"
152,Acknowledging,0.9475,6203167,- That was amazing !,5985096,"- That "" red carpet "" was amazing ! You did that , didn 't you ?
- It was amazing !"
153,Acknowledging,0.9474,5117713,"- Yeah , that 's right .",6021171,"- You know , honey , I felt exactly like that when I was your age . And when I was 20 . And this morning .
- Right ? And now she runs her own company , so ... I 'm gonna let you in on a ... big , fat secret that we all know about life . And that is that you don 't ever figure it out , and you 're always behind , and it 's kind of always unfair , frankly. right ? Mm-hmm . So ... You know ?
- Yeah . You 're on schedule .
- Yeah . That 's right ."
154,Acknowledging,0.9471,6674215,- That 's beautiful !,7238480,"- Her eyes as big as almonds she could caress you with a glance .
- That 's beautiful !"
155,Acknowledging,0.9471,159978,- That 's pretty .,4504968,"- As far as losing the challenge today , I was a little irritated . Here 's my dream come true . I can stomp a guy on national television and I miss by two inches . It was a bummer , but then when they pulled the chickens out , I started laughing .
- Cutting off a chicken 's head ?
- No , it 's not what I would want to do for food . I can live without the chicken right now .
- So that was all right . The other team won some live chickens with some eggs . So we came back here and I went spearfishing and got us a nice eel .
- That 's the first eel . If I 'd seen others , I 'd have gotten others .
- Oh , wow . It 's all beautiful meat , the whole thing .
- Nice job , Rich .
- Is that pretty ?
- It 's so pretty ."
156,Acknowledging,0.947,159978,- That 's pretty .,2667568,"- That 's lovely .
- You 're pretty , you know ."
157,Acknowledging,0.9468,2652683,- It 's incredible !,882230,"- You had the feeling there wasn 't enough room for so many people . It was like a constant hive of activity , noisy , deafening , everybody bustling about .
- It was incredible !"
158,Acknowledging,0.9468,6489821,- Good job !,1582607,"- good job .
- Good job , man ."
159,Acknowledging,0.9468,1663949,"- Was the team mad , then ?
- I wasn 't happy !
- That 's pretty bad .",6537698,"- How bad do things look ?
- Pretty bad ."
160,Acknowledging,0.9466,4578949,- He looks so cute .,1225478,"- Are you hot ? Whoo . I 'm burning up . It wasn 't hot until Rajan started dancing . He was good , wasn 't he ? He is awesome . Trust me , if you don 't marry him , I will .
- He 's so cute ."
161,Acknowledging,0.9466,7137665,- It 's fantastic .,7772006,"- That sounds fantastic .
- That 's so exciting . But it 's going to cost you more .
- That 's fantastic ."
163,Acknowledging,0.9465,5117713,"- Yeah , that 's right .",6361021,"- It will be perfect that if the following rodas are like this
- That 's right"
164,Acknowledging,0.9463,4104068,- That was nice !,3622069,"- Typically when couples engage in the sort of activity we engaged in last night there 's some sort of morning-after discussion .
- About what ? Well , it 's a bit like a post-game wrap-up .
- I see . You want to know if you were any good .
- Well , I 'd really rather know if it was good for you .
- Of course . You being Pacey Witter friend to woman and all .
- Precisely . It was very nice .
- It was nice ?"
165,Acknowledging,0.9462,2652683,- It 's incredible !,1957950,"- He moves his hips very well !
- It 's incredible !"
166,Acknowledging,0.9462,7933855,- That was a great idea .,7823359,"- Are you sure this is a good idea ?
- It 's a great idea ."
167,Acknowledging,0.946,4578949,- He looks so cute .,3688433,"- Isn ' t he just the cutest ?
- He 's pretty cute ."
168,Acknowledging,0.9458,7993400,- He 's right there .,2988476,"- There he is , we 've found him !
- You 've got him !
- He 's right there !"
169,Acknowledging,0.9457,7712099,- That 's really great !,2089061,"- What do you think you 're doing ? ! LILITH : Might I have a little privacy ? FRASIER : We can resolve all this later , but for now , these people may be my friends , but they are not the greatest conversationalists in the world , and I could use your help .
- Good chips .
- Lilith . Ah . Welcome to our home . I am so happy for the both of you .
- Yeah , absolutely . Congratulations .
- Yeah , that 's great ."
170,Acknowledging,0.9457,6031016,"- That was nice .
- Uh ... Do you want to maybe go and hang out for a while ?",4091834,"- Come on up . Check it out , baby .
- You know what ? You are one of the smartest contestants I have ever met , dude . That was actually really good .
- It was !
- Yeah . It was smooth .
- Nice . Very , very nice ."
171,Acknowledging,0.9454,6674215,- That 's beautiful !,215857,"- Margarita , look what they 've brought for you .
- It 's beautiful !
- Hello , my love !
- Hey , who 's this from ?
- What a beautiful thing !
- Oh , how beautiful !
- How very nice !"
172,Acknowledging,0.9454,7712099,- That 's really great !,8604193,"- And ... action China , get started , there .
- Amber , get into it . Now , in walks the Principal .
- You ready man , you got wood ?
- Okay . So , at first , first you 're mad . Get in there .
- Girls , you 're embarrased , and surprised . Now you 're hot .
- China , blow him Pop on her face , give her a facial , and uh ... When he 's done that , China ?
- Look up and say , "" That was great . That was great .
- That was great ."
173,Acknowledging,0.9451,7719340,"- Well , you were pretty great .",2077827,"- Sisters !
- Good job .
- You were great ."
174,Acknowledging,0.945,4104068,- That was nice !,693942,"- And foolish though it may seem to me . This one sounds really nice . Listen . Dazzling sun-filled corner two-bedroom , built-in bookcases , window seats , soaks up the morning sunshine .
- That 's nice . Yeah ."
175,Acknowledging,0.9447,7712099,- That 's really great !,4079402,"- Everything looks very good . It 's great .
- This is terrific ."
176,Acknowledging,0.9445,1515329,- You 're amazing .,4637729,"- Aren 't I great ?
- You are amazing ."
177,Acknowledging,0.9444,6489958,- This is very nice .,1865611,"- Oh how beautiful !
- Oh , how nice !"
178,Acknowledging,0.9443,4104068,- That was nice !,2686010,"- Mommy was in a lot of pain , wasn 't she ?
- Yes , she was .
- Then it 's good she died . So she wouldn 't have to suffer .
- That 's a nice way of putting it , baby .
- Yeah , that 's real nice ."
